taxon	comparison	lfc	p_value	q_value	significant	direction
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	7d_vs_before	5.521616594232524	1.0755558018798908e-163	1.2153780561242766e-161	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	7d_vs_before	5.477057942891775	8.491380586523993e-91	4.797630031386057e-89	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	7d_vs_before	4.557836936416125	1.5044626226143874e-81	5.666809211847525e-80	True	increased
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	7d_vs_before	-6.802356863344868	1.0622248149224874e-78	3.000785102156027e-77	True	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	7d_vs_before	5.614182243178607	2.7532858305337163e-63	6.222425977006199e-62	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter	7d_vs_before	3.683853535913945	3.5178276400766883e-48	6.625242055477762e-47	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus	7d_vs_before	-4.541575544216471	4.953599242701456e-41	7.996524491789492e-40	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Acutalibacter	7d_vs_before	2.822867284581956	1.6238058516849362e-38	2.2936257655049723e-37	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	7d_vs_before	-3.850688739460774	8.264229455380237e-36	1.0376199205088522e-34	True	decreased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	7d_vs_before	-4.192054122200684	2.853363928450276e-35	3.224301239148812e-34	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	7d_vs_before	3.5272472394730348	2.176566006388462e-31	2.2359268974717843e-30	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	7d_vs_before	2.500893596843348	4.902968271741953e-28	4.616961789223672e-27	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	7d_vs_before	3.4074504402370995	7.597771383006322e-28	6.60421666369011e-27	True	increased
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	7d_vs_before	3.769585868515213	2.446560153499214e-24	1.974723552467223e-23	True	increased
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	7d_vs_before	2.5319323680021903	7.873010746032031e-24	5.931001428677462e-23	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium	7d_vs_before	2.261443354673436	1.8678193409833328e-22	1.319147409569479e-21	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	7d_vs_before	3.0936183610355306	3.57405264417698e-22	2.375693816423522e-21	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum	7d_vs_before	2.068223647636661	1.9999736844747158e-19	1.2555390352535712e-18	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum	7d_vs_before	3.1315356773179026	1.1846565600422588e-18	7.045589014988172e-18	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger	7d_vs_before	2.68463422633167	6.028538674983012e-17	3.406124351365401e-16	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	7d_vs_before	2.3020930018545567	6.765575675040519e-17	3.6405240537122796e-16	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__Incertae_Sedis	7d_vs_before	2.237643035092012	1.6064438019620135e-16	8.251279528259435e-16	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	7d_vs_before	2.5161656024228387	1.7587791236084752e-16	8.640958302945987e-16	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	7d_vs_before	2.7126186785290427	5.69365145066905e-16	2.680760891356677e-15	True	increased
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	7d_vs_before	-2.8962024900853813	2.253689651267939e-14	1.0186677223731085e-13	True	decreased
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	7d_vs_before	2.065714891127499	2.560999183268216e-14	1.1130496450358013e-13	True	increased
d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	7d_vs_before	-2.0269995250798374	3.533034311568049e-14	1.478640285952554e-13	True	decreased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	7d_vs_before	1.5706952114127546	4.918467288828245e-13	1.984952870134256e-12	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	7d_vs_before	1.87933604377496	6.523711037143777e-13	2.5419977489560235e-12	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	7d_vs_before	2.0514694528564696	1.6077299119685268e-12	6.055782668414784e-12	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	7d_vs_before	2.132525256456338	2.2272931945107124e-12	8.118842934829371e-12	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	7d_vs_before	1.5225885082954544	4.128098427922492e-12	1.45773475736013e-11	True	increased
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	7d_vs_before	1.7501939119782426	4.6220756065820776e-12	1.5827107380114387e-11	True	increased
